CepCod;CidCodMunDipj;CidCod;CidNome;UfSigla;CepEnderLoc;CepBair1;CepBair2
72700000;;95591;BRAZLANDIA;DF;NULL;NULL;NULL
72705010;;95591;BRAZLANDIA;DF;QUADRA 1;Setor Norte;
72705011;;95591;BRAZLANDIA;DF;QUADRA 1 RUA A;Setor Norte;
72705012;;95591;BRAZLANDIA;DF;QUADRA 1 RUA B;Setor Norte;
72705013;;95591;BRAZLANDIA;DF;QUADRA 1 RUA C;Setor Norte;
72705014;;95591;BRAZLANDIA;DF;QUADRA 1 RUA D;Setor Norte;
72705015;;95591;BRAZLANDIA;DF;QUADRA 1 RUA E;Setor Norte;
72705016;;95591;BRAZLANDIA;DF;QUADRA 1 RUA F;Setor Norte;
72705017;;95591;BRAZLANDIA;DF;QUADRA 1 RUA G;Setor Norte;
72705030;;95591;BRAZLANDIA;DF;QUADRA 3;Setor Norte;
72705031;;95591;BRAZLANDIA;DF;QUADRA 3 RUA A;Setor Norte;
72705032;;95591;BRAZLANDIA;DF;QUADRA 3 RUA B;Setor Norte;
72705033;;95591;BRAZLANDIA;DF;QUADRA 3 RUA C;Setor Norte;
72705034;;95591;BRAZLANDIA;DF;QUADRA 3 RUA D;Setor Norte;
72705035;;95591;BRAZLANDIA;DF;QUADRA 3 RUA E;Setor Norte;
72705036;;95591;BRAZLANDIA;DF;QUADRA 3 RUA F;Setor Norte;
72705037;;95591;BRAZLANDIA;DF;QUADRA 3 RUA G;Setor Norte;
72705038;;95591;BRAZLANDIA;DF;QUADRA 3 RUA H;Setor Norte;
72705039;;95591;BRAZLANDIA;DF;QUADRA 3 RUA I;Setor Norte;
72705040;;95591;BRAZLANDIA;DF;QUADRA 3 RUA J;Setor Norte;
72705050;;95591;BRAZLANDIA;DF;QUADRA 5;Setor Norte;
72705051;;95591;BRAZLANDIA;DF;QUADRA 5 RUA A;Setor Norte;
72705052;;95591;BRAZLANDIA;DF;QUADRA 5 RUA B;Setor Norte;
72705053;;95591;BRAZLANDIA;DF;QUADRA 5 RUA C;Setor Norte;
72705500;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES;Setor Norte;
72705501;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO A;Setor Norte;
72705502;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO B;Setor Norte;
72705503;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO C;Setor Norte;
72705504;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO D;Setor Norte;
72705505;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO E;Setor Norte;
72705506;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO F;Setor Norte;
72705507;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO G;Setor Norte;
72705508;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO H;Setor Norte;
72705509;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO I;Setor Norte;
72705510;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO J;Setor Norte;
72705511;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO K;Setor Norte;
72705512;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO L;Setor Norte;
72705513;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO M;Setor Norte;
72705514;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO N;Setor Norte;
72705515;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO O;Setor Norte;
72705516;;95591;BRAZLANDIA;DF;RODOVIµRIO;Setor Norte;
72705517;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO P;Setor Norte;
72705518;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO Q;Setor Norte;
72705519;;95591;BRAZLANDIA;DF;CENTRO DE COMêRCIO E DIVERSÂES BLOCO R;Setor Norte;
